indicator,type,"last_seen","first_seen",sensor,"ut_domain"
"http://66.70.216.155/x/3sh",URL,"1670133500.606578","1670133500.606578",1,"66.70.216.155"
"http://77.91.122.183/x-8.6-.GHOUL",URL,"1670630598.423378","1670630598.423378",1,"77.91.122.183"
"http://79.110.62.20/Fourloko.sh",URL,"1662044747.617631","1662044747.617631",1,"79.110.62.20"
"http://79.110.62.20/okamiii.x86",URL,"1663230970.295600","1663230970.295600",1,"79.110.62.20"
"http://79.110.63.9/sshbruter.sh",URL,"1669932780.154057","1669932780.154057",1,"79.110.63.9"
"http://80.68.196.6/ff",URL,"1684607243.761686","1672221693.773231",3,"80.68.196.6"
"http://80.68.196.6/wei",URL,"1685702344.114775","1685659166.882999",2,"80.68.196.6"
"http://80.94.92.49/d",URL,"1678143418.758598","1668066075.337387",1,"80.94.92.49"
"http://80.94.92.49/x86_64",URL,"1668402553.962915","1668259448.888705",1,"80.94.92.49"
"http://84.21.172.199/sh",URL,"1670317926.512592","1670317926.512592",1,"84.21.172.199"
"http://84.54.50.163/sh",URL,"1684800134.212174","1682998640.377821",3,"84.54.50.163"
"http://84.54.50.198/pedalcheta/cutie.x86_64",URL,"1685629852.417657","1685151990.039465",2,"84.54.50.198"
"http://84.54.50.20/sh",URL,"1682789457.979051","1682789457.979051",1,"84.54.50.20"
"http://85.202.169.173/shr",URL,"1657981257.413882","1657806133.712012",3,"85.202.169.173"
"http://85.217.144.207/z.sh",URL,"1684145429.610847","1682080303.043795",3,"85.217.144.207"
"http://85.91.64.28/work/m",URL,"1614586377.259337","1614586377.259337",1,"85.91.64.28"
"http://87.121.221.67/yoyobins.sh",URL,"1685462379.955232","1685462379.955232",1,"87.121.221.67"
"http://88.214.21.26/sh",URL,"1681790628.037507","1681790628.037507",1,"88.214.21.26"
"http://88.218.17.142/ant.sh",URL,"1619164215.791862","1619164215.791862",1,"88.218.17.142"
"http://89.34.27.167/jira",URL,"1661826676.025123","1655399155.441575",1,"89.34.27.167"
"http://89.34.27.167/jira?confluence",URL,"1661826676.025123","1655399155.441575",1,"89.34.27.167"
"http://91.234.99.110/sh2",URL,"1687399419.746116","1687399419.746116",1,"91.234.99.110"
"http://91.234.99.218/sh",URL,"1683721975.012831","1683039646.176686",3,"91.234.99.218"
"http://92.207.203.157/x/1sh",URL,"1668342264.746166","1655176688.213043",1,"92.207.203.157"
"http://92.207.203.157/x/2sh",URL,"1668342266.783169","1655176691.853337",1,"92.207.203.157"
"http://92.207.203.157/x/3sh",URL,"1668264807.941531","1655262897.515224",1,"92.207.203.157"
"http://95.111.214.132/cnrig",URL,"1656670479.298348","1656670291.286359",1,"95.111.214.132"
"http://95.111.214.132/ok.sh",URL,"1656670479.298348","1656670291.286359",1,"95.111.214.132"
"http://95.214.27.202/x86",URL,"1684765218.197910","1682165066.488519",3,"95.214.27.202"
"http://95.214.27.202/x86_64",URL,"1688284757.819074","1682175601.344209",3,"95.214.27.202"
"http://95.214.27.53/hkxl.sh",URL,"1686215527.190442","1686215527.190442",1,"95.214.27.53"
"http://95.214.53.214/shr",URL,"1660054742.056969","1659505381.373796",2,"95.214.53.214"
"http://96.93.219.146/git/mig-logcleaner.jpg",URL,"1676549478.755986","1674457193.279685",1,"96.93.219.146"
"http://amkbins.duckdns.org/bins/ascaris.x86",URL,"1667299034.287457","1667148214.152604",1,"duckdns.org"
"http://apiscontrolm1ln3t.duckdns.org/sshd",URL,"1667315190.637051","1665976567.612924",2,"duckdns.org"
"http://bestony.club/poll/0788ebeb-52de-4e05-9522-ce3d0369be80",URL,"1610428922.258088","1610428922.258088",1,"bestony.club"
"http://bestony.club/poll/0c907ffd-9f6f-43aa-af9e-0b82488f2bf4",URL,"1610006703.176376","1610006703.176376",1,"bestony.club"
"http://bestony.club/poll/0e3c9cc8-67cf-45f2-9dba-31d47e066d0a",URL,"1610558618.039610","1610558618.039610",1,"bestony.club"
"http://bestony.club/poll/15a1f899-9aff-431e-80e7-46ce7b71cb6b",URL,"1610154708.413426","1610154708.413426",1,"bestony.club"
"http://bestony.club/poll/1f014583-924f-4e76-8626-102df9638304",URL,"1609907463.669546","1609907463.669546",1,"bestony.club"
"http://bestony.club/poll/224cac65-fe4b-4ac6-9a4a-4550366e1222",URL,"1609895138.928523","1609895138.928523",1,"bestony.club"
"http://bestony.club/poll/2366bffe-47c8-4563-99f6-dbf2ded5ecbe",URL,"1609208413.434936","1609208413.434936",1,"bestony.club"
"http://bestony.club/poll/27329b54-508b-499a-a142-13c1e270c8d9",URL,"1610473236.571470","1610473236.571470",1,"bestony.club"
"http://bestony.club/poll/2e41e6aa-8fbc-4038-8a83-3fdd75d418ad",URL,"1610399010.248940","1610399010.248940",1,"bestony.club"
"http://bestony.club/poll/31db215e-2d1b-4c06-83ee-f22ceb3bfc68",URL,"1610141554.712026","1610141554.712026",1,"bestony.club"
"http://bestony.club/poll/321dd3ba-28ed-4d18-ba42-21994cb2f2f3",URL,"1610042796.767234","1610042796.767234",1,"bestony.club"
"http://bestony.club/poll/326f28a7-ed45-4a50-9c39-667fdbbaf169",URL,"1609296822.964051","1609296822.964051",1,"bestony.club"
"http://bestony.club/poll/34c430dc-01c2-46f9-ab1e-676e78e0c750",URL,"1609207689.164772","1609207689.164772",1,"bestony.club"
"http://bestony.club/poll/35dc2050-0960-4bd6-b332-dbfd55744607",URL,"1610344145.598865","1610344145.598865",1,"bestony.club"
"http://bestony.club/poll/38f25e59-f334-44cb-bbfb-e204c24c6587",URL,"1609730033.576309","1609730033.576309",1,"bestony.club"
